date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2024-04-04,170.07,177.19,168.01,171.11,171.11,123161960,123161960,1.04,0.61151,171.595,"April 04, 24",0.0061151
2024-04-03,164.02,168.82,163.28,168.38,168.38,82950141,82950141,4.36,2.66,166.125,"April 03, 24",0.0266
2024-04-02,164.75,167.69,163.43,166.63,166.63,116650594,116650594,1.88,1.14,165.625,"April 02, 24",0.0114
2024-04-01,176.17,176.75,170.21,175.22,175.22,81562127,81562127,-0.95,-0.53925,174.5875,"April 01, 24",-0.0053925
2024-03-28,177.45,179.57,175.3,175.79,175.79,77654838,77654838,-1.66,-0.93547,177.0275,"March 28, 24",-0.0093547
2024-03-27,181.41,181.91,176.0,179.83,179.83,81804043,81804043,-1.58,-0.87096,179.7875,"March 27, 24",-0.0087096
2024-03-26,178.58,184.25,177.38,177.67,177.67,113186227,113186227,-0.91,-0.50958,179.47,"March 26, 24",-0.0050958
2024-03-25,168.76,175.24,168.73,172.63,172.63,74228615,74228615,3.87,2.29,171.34,"March 25, 24",0.0229
2024-03-22,166.69,171.2,166.3,170.83,170.83,75580637,75580637,4.14,2.48,168.755,"March 22, 24",0.0248
2024-03-21,176.39,178.18,171.8,172.82,172.82,73178014,73178014,-3.57,-2.02,174.7975,"March 21, 24",-0.0202
2024-03-20,173.0,176.25,170.82,175.66,175.66,83846726,83846726,2.66,1.54,173.9325,"March 20, 24",0.0154
2024-03-19,172.36,172.82,167.42,171.32,171.32,77271428,77271428,-1.04,-0.60339,170.98,"March 19, 24",-0.0060339
2024-03-18,170.02,174.72,165.9,173.8,173.8,108214358,108214358,3.78,2.22,171.11,"March 18, 24",0.0222
2024-03-15,163.16,165.18,160.76,163.57,163.57,97146832,97146832,0.41,0.25129,163.1675,"March 15, 24",0.0025129
2024-03-14,167.77,171.17,160.51,162.5,162.5,126325696,126325696,-5.27,-3.14,165.4875,"March 14, 24",-0.0314
2024-03-13,173.05,176.05,169.15,169.48,169.48,106524518,106524518,-3.57,-2.06,171.9325,"March 13, 24",-0.0206
2024-03-12,177.77,179.43,172.41,177.54,177.54,87391684,87391684,-0.23,-0.12938,176.7875,"March 12, 24",-0.0012938
2024-03-11,175.45,182.87,174.8,177.77,177.77,85391528,85391528,2.33,1.32,177.7225,"March 11, 24",0.0132
2024-03-08,181.5,182.73,174.7,175.34,175.34,85544644,85544644,-6.16,-3.39,178.5675,"March 08, 24",-0.0339
2024-03-07,174.35,180.04,173.7,178.65,178.65,102129004,102129004,4.3,2.47,176.685,"March 07, 24",0.0247
2024-03-06,179.99,181.58,173.7,176.54,176.54,107920944,107920944,-3.45,-1.92,177.9525,"March 06, 24",-0.0192
