date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2025-03-25,626.76,633.88,621.18,626.31,626.31,15312540,15312540,-0.45,-0.07179782,627.0325,"March 25, 25",-0.0007179782
2025-03-24,614.97,622.54,612.2,618.85,618.85,15741300,15741300,3.88,0.63093,617.14,"March 24, 25",0.0063093
2025-03-21,583.42,597.54,580.95,596.25,596.25,25015900,25015900,12.83,2.2,589.54,"March 21, 25",0.022
2025-03-20,582.76,610.2,579.51,586.0,586.0,24336505,24336505,3.25,0.55598,589.6175,"March 20, 25",0.0055598
2025-03-19,584.28,592.32,574.77,584.06,584.06,20537500,20537500,-0.22,-0.03765318,583.8575,"March 19, 25",-0.0003765318
2025-03-18,600.05,600.25,574.66,582.36,582.36,20297708,20297708,-17.69,-2.95,589.33,"March 18, 25",-0.0295
2025-03-17,607.46,613.1,598.0,604.9,604.9,15473909,15473909,-2.56,-0.42143,605.865,"March 17, 25",-0.0042143
2025-03-14,602.8,608.86,594.78,607.6,607.6,12364505,12364505,4.8,0.79628,603.51,"March 14, 25",0.0079628
2025-03-13,620.25,620.5,586.51,590.64,590.11,16480324,16480324,-29.61,-4.77,604.475,"March 13, 25",-0.0477
2025-03-12,629.9,633.33,609.35,619.56,619.01,15747000,15747000,-10.34,-1.64,623.035,"March 12, 25",-0.0164
2025-03-11,595.05,614.93,593.33,605.71,605.17,17401500,17401500,10.66,1.79,602.255,"March 11, 25",0.0179
2025-03-10,608.07,610.11,586.87,597.99,597.46,21999943,21999943,-10.08,-1.66,600.76,"March 10, 25",-0.0166
2025-03-07,625.37,634.79,600.61,625.66,625.1,21375700,21375700,0.29,0.04637255,621.6075,"March 07, 25",0.0004637255
2025-03-06,648.0,650.56,624.11,627.93,627.37,13446500,13446500,-20.07,-3.1,637.65,"March 06, 25",-0.031
2025-03-05,641.0,659.5,637.66,656.47,655.89,13770026,13770026,15.47,2.41,648.6575,"March 05, 25",0.0241
2025-03-04,645.51,649.75,623.65,640.0,639.43,21495208,21495208,-5.51,-0.85359,639.7275,"March 04, 25",-0.0085359
2025-03-03,673.68,681.25,650.84,655.05,654.47,10843800,10843800,-18.62,-2.77,665.205,"March 03, 25",-0.0277
2025-02-28,658.04,669.63,642.6,668.2,667.61,17534200,17534200,10.16,1.54,659.6175,"February 28, 25",0.0154
